# Copyright (C) 2023  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 22.1std.2 Build 922 07/20/2023 SC Lite Edition
# File: \\Mac\AllFiles\Applications\CODESTUFF\StudyVHDL\EDABK\Homework\SevenSegmentLed\Quartus\SevenSegLed_PinAssigment.csv
# Generated on: Fri Mar  8 16:07:35 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
input[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
input[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
input[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
input_leds[15],Output,PIN_G15,7,B7_N2,PIN_AG26,,,,,,
input_leds[14],Output,PIN_F15,7,B7_N2,PIN_AE26,,,,,,
input_leds[13],Output,PIN_H17,7,B7_N2,PIN_AF27,,,,,,
input_leds[12],Output,PIN_J16,7,B7_N2,PIN_AH26,,,,,,
input_leds[11],Output,PIN_H16,7,B7_N2,PIN_AE27,,,,,,
input_leds[10],Output,PIN_J15,7,B7_N2,PIN_Y24,,,,,,
input_leds[9],Output,PIN_G17,7,B7_N1,PIN_Y23,,,,,,
input_leds[8],Output,PIN_J17,7,B7_N2,PIN_AD28,,,,,,
input_leds[7],Output,PIN_H19,7,B7_N2,PIN_V28,,,,,,
input_leds[6],Output,PIN_J19,7,B7_N2,PIN_V25,,,,,,
input_leds[5],Output,PIN_E18,7,B7_N1,PIN_AE28,,,,,,
input_leds[4],Output,PIN_F18,7,B7_N1,PIN_V27,,,,,,
input_leds[3],Output,PIN_F21,7,B7_N0,PIN_P27,,,,,,
input_leds[2],Output,PIN_E19,7,B7_N0,PIN_M27,,,,,,
input_leds[1],Output,PIN_F19,7,B7_N0,PIN_R22,,,,,,
input_leds[0],Output,PIN_G19,7,B7_N2,PIN_L24,,,,,,
output[27],Output,PIN_Y19,4,B4_N0,PIN_Y19,2.5 V,,,,,
output[26],Output,PIN_AF23,4,B4_N0,PIN_AF23,2.5 V,,,,,
output[25],Output,PIN_AD24,4,B4_N0,PIN_AD24,2.5 V,,,,,
output[24],Output,PIN_AA21,4,B4_N0,PIN_AA21,2.5 V,,,,,
output[23],Output,PIN_AB20,4,B4_N0,PIN_AB20,2.5 V,,,,,
output[22],Output,PIN_U21,5,B5_N0,PIN_U21,2.5 V,,,,,
output[21],Output,PIN_V21,5,B5_N1,PIN_V21,2.5 V,,,,,
output[20],Output,PIN_W28,5,B5_N1,PIN_W28,2.5 V,,,,,
output[19],Output,PIN_W27,5,B5_N1,PIN_W27,2.5 V,,,,,
output[18],Output,PIN_Y26,5,B5_N1,PIN_Y26,2.5 V,,,,,
output[17],Output,PIN_W26,5,B5_N1,PIN_W26,2.5 V,,,,,
output[16],Output,PIN_Y25,5,B5_N1,PIN_Y25,2.5 V,,,,,
output[15],Output,PIN_AA26,5,B5_N1,PIN_AA26,2.5 V,,,,,
output[14],Output,PIN_AA25,5,B5_N1,PIN_AA25,2.5 V,,,,,
output[13],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
output[12],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
output[11],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
output[10],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
output[9],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
output[8],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
output[7],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
output[6],Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
output[5],Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
output[4],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
output[3],Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
output[2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
output[1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
output[0],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
